grade	number	Kanji	Strokes	Meaning	Onyomi	Kunyomi
3	288	客	9	guest	kyaku	
3	289	宮	10	Shinto shrine; prince	kyū, gū	miya
3	290	宿	11	inn	shuku	yado, yado-ru
3	291	寒	12	cold (weather)	kan	samu-i
3	292	対	7	opposite, against	tai, tsui	aite, soro-i
3	293	局	7	office	kyoku	tsubone
3	294	屋	9	roof	oku	ya
3	295	岸	8	shore	gan	kishi
3	296	島	10	island	tō	shima
3	297	州	6	state; province	shū	su
3	298	帳	11	notebook	chō	tobari
3	299	平	5	flat	hei, byō	tai-ra, hira
3	300	幸	8	happiness	kō	saiwa-i, shiawa-se
3	301	度	9	degree	do	tabi
3	302	庫	10	warehouse	ko, ku	kura
3	303	庭	10	yard	tei	niwa
3	304	式	6	style; ceremony; numerical formula	shiki	
3	305	役	7	role	yaku	
3	306	待	9	wait	tai	ma-tsu
3	307	急	9	hurry	kyū	iso-gu
3	308	息	10	breath	soku	iki
3	309	悪	11	bad	aku	waru-i
3	310	悲	12	sad	hi	kana-shii
3	311	想	13	thought	sō	
3	312	意	13	idea	i	
3	313	感	13	feel	kan	kan-jiru
3	314	所	8	place	sho	tokoro
3	315	打	5	hit	da	u-tsu
3	316	投	7	throw	tō	na-geru
3	317	拾	9	pick up	shū	hiro-u
3	318	持	9	hold	ji	mo-tsu
3	319	指	9	finger; point	shi	yubi, sa-su
3	320	放	8	release	hō	hana-su
3	321	整	16	organize	sei	totono-eru
3	322	旅	10	trip	ryo	tabi
3	323	族	11	tribe	zoku	
3	324	昔	8	long ago	seki, shaku	mukashi
3	325	昭	9	shine	shō	
3	326	暑	12	hot	sho	atsu-i
3	327	暗	13	dark	an	kura-i
3	328	曲	6	melody; curve	kyoku	ma-garu
3	329	有	6	possess	yū	a-ru
3	330	服	8	clothes	fuku	
3	331	期	12	period of time	ki	
3	332	板	8	board	han, ban	ita
3	333	柱	9	pillar	chū	hashira
3	334	根	10	root	kon	ne
3	335	植	12	plant	shoku	u-eru
3	336	業	13	business	gyō	
3	337	様	14	appearance	yō	sama
3	338	横	15	horizontal	ō	yoko
3	339	橋	16	bridge	kyō	hashi
3	340	次	6	next	ji	tsugi, tsu-gu
3	341	歯	12	tooth	shi	ha
3	342	死	6	death	shi	shi-nu
3	343	氷	5	ice	hyō	kōri
3	344	決	7	decide	ketsu	ki-meru
3	345	油	8	oil	yu	abura
3	346	波	8	wave	ha	nami
3	347	注	8	pour	chū	soso-gu
3	348	泳	8	swim	ei	oyo-gu
3	349	洋	9	ocean	yō	
3	350	流	10	stream	ryū	naga-reru
3	351	消	10	extinguish	shō	ki-eru, ke-su
3	352	深	11	deep	shin	fuka-i
3	353	温	12	warm	on	atata-kai
3	354	港	12	harbor	kō	minato
3	355	湖	12	lake	ko	mizūmi
3	356	湯	12	hot water	tō	yu
3	357	漢	13	Chinese	kan	
3	358	炭	9	charcoal	tan	sumi
3	359	物	8	(tangible) thing	butsu, motsu	mono
3	360	球	11	ball	kyū	tama
3	361	由	5	reason	yū, yu	yoshi
3	362	申	5	say	shin	mō-su
3	363	界	9	world	kai	
3	364	畑	9	farm		hata, hatake
3	365	病	10	sick	byō	yamai
3	366	発	9	departure	hatsu	
3	367	登	12	climb	tō, to	nobo-ru
3	368	皮	5	skin	hi	kawa
3	369	皿	5	dish	bei	sara
3	370	相	9	mutual	sō	ai
3	371	県	9	prefecture	ken	ka-keru
3	372	真	10	true	shin	ma
3	373	着	12	wear	chaku	ki-ru, tsu-ku
3	374	短	12	short	tan	mijika-i
3	375	研	9	sharpen	ken	to-gu
3	376	礼	5	salute	rei	
3	377	神	9	deity	shin, jin	kami
3	378	祭	11	festival	sai	matsu-ri
3	379	福	13	luck	fuku	
3	380	秒	9	second	byō	
3	381	究	7	research	kyū	kiwa-meru
3	382	章	11	chapter	shō	
3	383	童	12	juvenile	dō	warabe
3	384	笛	11	flute	teki	fue
3	385	第	11	ordinal	dai	
3	386	筆	12	writing brush	hitsu	fude
3	387	等	12	class	tō	hito-shii
3	388	箱	15	box	sō	hako
3	389	級	9	rank	kyū	
3	390	終	11	end	shū	o-waru, o-eru
3	391	緑	14	green	ryoku	midori
3	392	練	14	practice	ren	ne-ru
3	393	羊	6	sheep	yō	hitsuji
3	394	美	9	beauty	bi	utsuku-shii
3	395	習	11	learn	shū	nara-u
3	396	者	8	someone	sha	mono
3	397	育	8	nurture	iku	soda-tsu
3	398	苦	8	suffer; bitter	ku	kuru-shii, niga-i
3	399	荷	10	luggage	ka	ni
3	400	落	12	fall	raku	o-chiru, o-tosu
3	401	葉	12	leaf	yō	ha
3	402	薬	16	medicine	yaku	kusuri
3	403	血	6	blood	ketsu	chi
3	404	表	8	express	hyō	omote, arawa-su
3	405	詩	13	poem	shi	uta
3	406	調	15	tone; find	chō	shira-beru
3	407	談	15	discuss	dan	
3	408	豆	7	beans	tō, zu	mame
3	409	負	9	lose	fu	ma-keru, o-u
3	410	起	10	awaken	ki	o-kiru
3	411	路	13	path	ro	ji
3	412	身	7	body	shin	mi
3	413	転	11	revolve	ten	koro-bu
3	414	軽	12	light	kei	karu-i
3	415	農	13	agriculture	nō	
3	416	返	7	repay	hen	kae-su
3	417	追	9	follow	tsui	o-u
3	418	送	9	send	sō	oku-ru
3	419	速	10	fast	soku	haya-i
3	420	進	11	progress	shin	susu-mu
3	421	遊	12	play	yū	aso-bu
3	422	運	12	carry	un	hako-bu
3	423	部	11	part	bu	
3	424	都	11	metropolis	to, tsu	miyako
3	425	配	10	distribute	hai	kuba-ru
3	426	酒	10	liquor	shu	sake, saka
3	427	重	9	heavy, gravity; pile	jū, chō	omo-i, kasa-neru
3	428	鉄	13	iron	tetsu	kurogane
3	429	銀	14	silver	gin	shirogane
3	430	開	12	open	kai	hira-ku, a-ku
3	431	院	10	institution	in	
3	432	陽	12	sun	yō	hi
3	433	階	12	storey	kai	kizahashi
3	434	集	12	gather	shū	atsu-maru
3	435	面	9	surface	men	omote, tsura
3	436	題	18	topic	dai	
3	437	飲	12	drink	in	no-mu
3	438	館	16	public building	kan	tate
3	439	駅	14	station	eki	
3	440	鼻	14	nose	bi	hana
4	441	不	4	not	fu, bu	
4	442	争	6	conflict	sō	araso-u
4	443	付	5	attach	fu	tsu-ku
4	444	令	5	orders	rei	
4	445	以	5	since	i	
4	446	仲	6	relationship	chū	naka
4	447	伝	6	convey	den	tsuta-eru
4	448	位	7	rank	i	kurai
4	449	低	7	low	tei	hiku-i
4	450	例	8	example	rei	tato-eru
4	451	便	9	convenience; letter	ben, bin	tayo-ri
4	452	信	9	trust	shin	
4	453	倉	10	storage	sō	kura
4	454	候	10	climate	kō	
4	455	借	10	borrow	shaku	ka-riru
4	456	停	11	halt	tei	to-maru, to-meru
4	457	健	11	healthy	ken	suko-yaka
4	458	側	11	side	soku	kawa
4	459	働	13	work	dō	hatara-ku
4	460	億	15	hundred million	oku	
4	461	兆	6	portent; trillion	chō	kiza-shi
4	462	児	7	offspring	ji, ni	ko
4	463	共	6	together	kyō	tomo
4	464	兵	7	soldier	hei, hyō	tsuwamono
4	465	典	8	code	ten	
4	466	冷	7	cool	rei	tsume-tai, hi-eru, sa-meru
4	467	初	7	first	sho	hatsu, haji-me
4	468	別	7	separate	betsu	waka-reru
4	469	利	7	profit	ri	
4	470	刷	8	printing	satsu	su-ru
4	471	副	11	vice-	fuku	
4	472	功	5	achievement	kō	
4	473	加	5	add	ka	kuwa-eru
