# Table 1. Body mass and mass of both testes for 133 mammalian species
Species	Family	Group	Common_name	Body_mass_g	Testes_mass_g	Testes_body_percent	Sample size	Relative_testes_size_note2	Reference	Mating_system_note3	Mating_system_ref
Rattus rattus	Muridae	Rodentia	Black rat	169	7.2	4.26	NA	5.12	See Table 2		
Rattus norvegicus	Muridae	Rodentia	Brown rat	500	4	0.8	12d	1.8	Perry, 1945		
Praomys natalensis	Muridae	Rodentia	Natal multimammate mouse	81.3	1.6	1.97	3d	1.93	Pirlot,1957		
Pseudomys delicatulus	Muridae	Rodentia	Delicate mouse	9	0.043	0.48	4c	0.25	Breed,1982		
Pseudomys hermannsburgensis	Muridae	Rodentia	Sandy inland mouse	18	0.163	0.91	8c	0.58	Breed,1982		
Pseudomys novaehollandiae	Muridae	Rodentia	New Holland mouse	19	0.071	0.37	2c	0.24	Breed,1982		
Pseudomys apodemoides	Muridae	Rodentia	Western mouse	31	0.141	0.45	3c	0.34	Breed,1982		
Pseudomys desertor	Muridae	Rodentia	Desert mouse	39	0.558	1.43	2e	1.14	Breed,1982		
Pseudomys australis	Muridae	Rodentia	Plains mouse	59	2.242	3.8	4c	3.4	Breed,1982		
Pseudomys nanus	Muridae	Rodentia	Western chestnut mouse	78	1.874	2.4	2c	2.33	Breed,1982		
Pseudomys shortridgei	Muridae	Rodentia	Heath mouse	78	0.345	0.44	3c	0.43	Breed,1982		
Pseudomys gracilicaudatus	Muridae	Rodentia	Eastern chestnut mouse	105	1.084	1.03	2c	1.09	Breed,1982		
Notomys cervinus	Muridae	Rodentia	Fawn hopping mouse	33	0.198	0.6	2c	0.46	Breed,1982		
Notomys alexis	Muridae	Rodentia	Spinifex hopping mouse	34	0.05	0.15	5e	0.11	Breed,1982		
Notomys mitchelli	Muridae	Rodentia	Mitchells hopping mouse	39	0.062	0.16	6c	0.13	Breed,1982		
Notomys fuscus	Muridae	Rodentia	Dusky hopping mouse	44	0.067	0.15	la	0.13	Breed,1982		
Thomomys bottae	Geomyidae	Rodentia	Bottas pocket gopher	190.2	3.56	1.87	5 d	2.33	Gunther,1956	M	1
Dipodomys microps	Heteromyidae	Rodentia	Chisel-toothed kangaroo rat	61.5	0.4	0.65	7 c	0.59	Kenagy****		1
Dipodomys merriami	Heteromyidae	Rodentia	Merriams kangaroo rat	38.6	0.45	1.16	8 c	0.93	Kenagy****		1
Dipodomys panamintinus	Heteromyidae	Rodentia	Panamint kangaroo rat	76.4	0.52	0.68	1 a	0.66	Kenagy, unpublished		
Dipodomys ordii	Heteromyidae	Rodentia	Ords kangaroo rat	56.3	0.53	0.94	8 c	0.83	Kenagy****		3
Perognathus formosus	Heteromyidae	Rodentia	Long-tailed pocket mouse	19.7	0.21	1.07	7 c	0.7	Kenagy****		1
Perognathus parvus	Heteromyidae	Rodentia	Great Basin pocket mouse	18.8	0.18	0.96	10 c	0.62	Kenagy****		2
Perognathus longimembris	Heteromyidae	Rodentia	Little pocket mouse	18	0.07	0.9	3 c	0.46	Kenagy****		
