Country name	country_short	country_code	area	Ladder score	Standard error of ladder score	upperwhisker	lowerwhisker	high_low_rank	high_low_year	high_low_var	Logged GDP per capita	Social support	Healthy life expectancy	Freedom to make life choices	Generosity	Perceptions of corruption	Ladder score in Dystopia	Explained by: Log GDP per capita	Explained by: Social support	Explained by: Healthy life expectancy	Explained by: Freedom to make life choices	Explained by: Generosity	Explained by: Perceptions of corruption	Dystopia + residual
Kyrgyzstan	Kyrgyzstan	KGZ	Asia-Pacific	5.825	0.045	5.913	5.737	32	2022	2.889	8.486	0.911	66.852	0.934	0.181	0.904	1.778	1.061	1.439	0.417	0.735	0.234	0.018	1.92
Moldova	Moldova	MDA	Europe	5.819	0.052	5.922	5.717	59	2022	3.455	9.499	0.857	65.299	0.84	-0.08	0.901	1.778	1.425	1.302	0.375	0.61	0.093	0.02	1.995
China	China	CHN	Asia-Pacific	5.818	0.044	5.905	5.731	74	2021	3.685	9.738	0.836	68.689	0.882	-0.041	0.727	1.778	1.51	1.249	0.468	0.666	0.115	0.145	1.666
Vietnam	Vietnam	VNM	Asia-Pacific	5.763	0.052	5.865	5.662	20	2022	2.706	9.287	0.821	65.502	0.939	-0.004	0.759	1.778	1.349	1.212	0.381	0.741	0.134	0.122	1.824
Paraguay	Paraguay	PRY	Americas	5.738	0.058	5.851	5.625	86	2022	3.856	9.51	0.906	65.9	0.891	0.021	0.843	1.778	1.428	1.427	0.392	0.678	0.148	0.062	1.604
Montenegro	Montenegro	MNE	Europe	5.722	0.112	5.941	5.503	90	2021	3.935	9.813	0.89	67.1	0.805	0.063	0.844	1.778	1.537	1.385	0.424	0.563	0.17	0.061	1.581
Jamaica	Jamaica	JAM	Americas	5.703	0.089	5.876	5.529	107	2022	4.267	9.165	0.867	66.6	0.822	-0.106	0.875	1.778	1.305	1.329	0.411	0.587	0.079	0.039	1.954
Bolivia	Bolivia	BOL	Americas	5.684	0.057	5.797	5.572	52	2022	3.354	8.985	0.811	63.599	0.868	-0.063	0.846	1.778	1.24	1.187	0.329	0.648	0.103	0.06	2.118
Russia	Russia	RUS	Europe	5.661	0.037	5.734	5.588	55	2022	3.41	10.21	0.889	64.947	0.719	-0.03	0.801	1.778	1.68	1.383	0.366	0.449	0.12	0.091	1.572
Bosnia and Herzegovina	Bosnia and Herzegovina	BIH	Europe	5.633	0.073	5.775	5.49	84	2021	3.843	9.616	0.88	67.275	0.746	0.206	0.918	1.778	1.467	1.361	0.429	0.485	0.247	0.008	1.635
Colombia	Colombia	COL	Americas	5.63	0.06	5.747	5.514	103	2022	4.224	9.584	0.822	69.35	0.804	-0.104	0.834	1.778	1.455	1.213	0.486	0.562	0.08	0.068	1.765
Dominican Republic	Dominican Republic	DOM	Americas	5.569	0.073	5.712	5.426	132	2022	5.102	9.811	0.827	64.399	0.85	-0.099	0.657	1.778	1.536	1.227	0.351	0.623	0.083	0.195	1.553
Ecuador	Ecuador	ECU	Americas	5.559	0.063	5.682	5.436	93	2022	3.963	9.27	0.806	69	0.802	-0.108	0.833	1.778	1.343	1.173	0.476	0.56	0.079	0.069	1.86
Peru	Peru	PER	Americas	5.526	0.058	5.64	5.412	83	2022	3.843	9.402	0.798	69.85	0.794	-0.119	0.892	1.778	1.39	1.153	0.499	0.549	0.073	0.027	1.835
Philippines	Philippines	PHL	Asia-Pacific	5.523	0.077	5.675	5.371	57	2021	3.432	8.979	0.78	62.038	0.919	-0.06	0.732	1.778	1.238	1.108	0.286	0.714	0.104	0.141	1.931
Bulgaria	Bulgaria	BGR	Europe	5.466	0.059	5.582	5.35	58	2022	3.451	10.087	0.918	66.5	0.801	-0.057	0.911	1.778	1.635	1.457	0.408	0.557	0.106	0.013	1.289
Nepal	Nepal	NPL	Asia-Pacific	5.36	0.075	5.507	5.214	119	2022	4.466	8.256	0.748	61.847	0.808	0.146	0.783	1.778	0.979	1.027	0.281	0.567	0.215	0.104	2.187
Armenia	Armenia	ARM	Europe	5.342	0.066	5.47	5.213	41	2022	3.173	9.615	0.79	67.789	0.796	-0.155	0.705	1.778	1.466	1.134	0.443	0.551	0.053	0.16	1.534
Tajikistan	Tajikistan	TJK	Asia-Pacific	5.33	0.062	5.452	5.207	13	2021	2.594	8.237	0.836	62.226	0.832	-0.06	0.522	1.778	0.972	1.248	0.291	0.599	0.104	0.292	1.823
Algeria	Algeria	DZA	Middle East and North Africa	5.329	0.062	5.451	5.207	28	2021	2.816	9.3	0.855	66.549	0.571	-0.117	0.717	1.778	1.353	1.298	0.409	0.252	0.073	0.152	1.791
Hong Kong S.A.R. of China	Hong Kong	HKG	Asia-Pacific	5.308	0.048	5.403	5.214	24	2022	2.776	10.966	0.817	77.28	0.687	-0.026	0.385	1.778	1.951	1.201	0.702	0.407	0.123	0.39	0.535
Albania	Albania	ALB	Europe	5.277	0.066	5.406	5.148	101	2022	4.204	9.567	0.718	69.15	0.794	-0.007	0.878	1.778	1.449	0.951	0.48	0.549	0.133	0.037	1.678
Indonesia	Indonesia	IDN	Asia-Pacific	5.277	0.059	5.392	5.161	64	2022	3.58	9.385	0.804	63.048	0.88	0.531	0.876	1.778	1.384	1.169	0.314	0.663	0.422	0.038	1.288
South Africa	South Africa	ZAF	Sub-Saharan Africa	5.275	0.073	5.417	5.132	73	2021	3.684	9.478	0.907	56.989	0.73	-0.087	0.902	1.778	1.417	1.428	0.149	0.464	0.09	0.019	1.708
Congo (Brazzaville)	Republic of the Congo	COG	Sub-Saharan Africa	5.267	0.088	5.44	5.094	47	2022	3.3	8.095	0.605	56.85	0.73	-0.004	0.739	1.778	0.921	0.665	0.145	0.464	0.134	0.136	2.802
North Macedonia	North Macedonia	MKD	Europe	5.254	0.055	5.361	5.146	78	2022	3.783	9.703	0.805	66.5	0.769	0.131	0.902	1.778	1.498	1.171	0.408	0.515	0.207	0.02	1.435
Venezuela	Venezuela	VEN	Americas	5.211	0.064	5.336	5.085	100	2022	4.143	5.527	0.839	64.05	0.659	0.128	0.811	1.778	0	1.257	0.341	0.369	0.205	0.084	2.955
Laos	Laos	LAO	Asia-Pacific	5.111	0.081	5.269	4.952	51	2021	3.336	8.962	0.679	60.946	0.919	0.091	0.703	1.778	1.232	0.853	0.257	0.715	0.185	0.162	1.707
Georgia	Georgia	GEO	Europe	5.109	0.056	5.219	5	50	2022	3.335	9.646	0.716	64.95	0.786	-0.254	0.649	1.778	1.477	0.947	0.366	0.539	0	0.201	1.58
Guinea	Guinea	GIN	Sub-Saharan Africa	5.072	0.072	5.213	4.931	110	2022	4.316	7.88	0.649	54.185	0.659	0.125	0.787	1.778	0.844	0.776	0.072	0.369	0.204	0.102	2.705
Ukraine	Ukraine	UKR	Europe	5.071	0.059	5.187	4.956	62	2022	3.52	9.314	0.878	64.55	0.795	0.24	0.907	1.778	1.358	1.354	0.355	0.551	0.265	0.016	1.172
Ivory Coast	Ivory Coast	CIV	Sub-Saharan Africa	5.053	0.074	5.198	4.907	114	2022	4.401	8.576	0.572	55.953	0.733	0.003	0.746	1.778	1.094	0.584	0.12	0.467	0.138	0.131	2.519
Gabon	Gabon	GAB	Sub-Saharan Africa	5.035	0.072	5.175	4.894	82	2022	3.808	9.537	0.746	58.252	0.642	-0.187	0.786	1.778	1.438	1.021	0.183	0.346	0.036	0.102	1.908
Nigeria	Nigeria	NGA	Sub-Saharan Africa	4.981	0.08	5.136	4.825	81	2021	3.803	8.496	0.74	54.891	0.718	0.073	0.911	1.778	1.065	1.007	0.092	0.448	0.176	0.013	2.181
Cameroon	Cameroon	CMR	Sub-Saharan Africa	4.973	0.071	5.112	4.834	111	2022	4.337	8.217	0.686	55.847	0.686	0.015	0.846	1.778	0.965	0.871	0.118	0.405	0.144	0.059	2.411
Mozambique	Mozambique	MOZ	Sub-Saharan Africa	4.954	0.116	5.181	4.727	135	2022	5.984	7.116	0.692	51.53	0.851	0.047	0.66	1.778	0.57	0.885	0	0.625	0.161	0.192	2.519
Iraq	Iraq	IRQ	Middle East and North Africa	4.941	0.081	5.099	4.783	95	2021	3.971	9.098	0.718	63.415	0.646	-0.005	0.876	1.778	1.281	0.953	0.324	0.351	0.134	0.038	1.861
State of Palestine	Palestine	PSE	Middle East and North Africa	4.908	0.092	5.089	4.727	89	2022	3.92	8.716	0.859	NA	0.694	-0.132	0.836	1.778	1.144	1.309	NA	0.416	0.065	0.067	
