"","x"
"347","Canada:Victoria Island"
"348","Canada:Stefansson Island"
"349","Canada:Bylot Island"
"350","Canada:Baffin Island"
"351","Canada:Prince of Wales Island"
"352","Canada:Russell Island"
"353","Canada:Somerset Island"
"354","Canada:Banks Island"
"355","Canada:122"
"356","Canada:123"
"357","Canada:Byam Martin Island"
"358","Canada:Cornwallis Island"
"359","Canada:126"
"360","Canada:127"
"361","Canada:128"
"362","Canada:Eglinton Island"
"363","Canada:Coburg Island"
"364","Canada:131"
"365","Canada:Cameron Island"
"366","Canada:Bathurst Island"
"367","Canada:Helena Island"
"368","Canada:Melville Island"
"369","Canada:North Kent Island"
"370","Canada:Emerald Isle"
"371","Canada:Devon Island"
"372","Canada:Prince Patrick Island"
"373","Canada:140"
"374","Canada:Lougheed Island"
"375","Canada:Cornwall Island"
"376","Canada:King Christian Island"
"377","Canada:Brock Island"
"378","Canada:Mackenzie King Island"
"379","Canada:146"
"380","Canada:Borden Island"
"381","Canada:Amund Ringnes Island"
"382","Canada:Ellef Ringnes Island"
"383","Canada:Meighen Island"
"384","Canada:Axel Heiberg Island"
"385","Canada:Ellesmere Island"
"386","Switzerland"
"387","Chile:Isla Hermite"
"388","Chile:Isla Wollaston"
"389","Chile:Isla Nueva"
"390","Chile:Isla Navarino"
"391","Chile:Isla Hoste"
"392","Chile:Isla Londonderry"
"393","Chile:7"
"394","Chile:Isla Santa Ines"
"395","Chile:Isla Desolacion"
"396","Chile:10"
"397","Chile:11"
"398","Chile:12"
"399","Chile:13"
"400","Chile:Isla Duque de York"
"401","Chile:Isla Madre de Dios"
"402","Chile:16"
"403","Chile:Isla Wellington"
"404","Chile:Isla Campana"
"405","Chile:Isla Pratt"
"406","Chile:20"
"407","Chile:21"
"408","Chile:22"
"409","Chile:23"
"410","Chile:Isla Magdalena"
"411","Chile:25"
"412","Chile:Isla Guaitecas"
"413","Chile:Isle Guafo"
"414","Chile:Isla Grande de Chiloe"
"415","Chile:Isla Juan Fernandez"
"416","Chile:Easter Island"
"417","Chile"
"418","China:1"
"419","China:Donghai Dao"
"420","China:3"
"421","China:4"
"422","China:5"
"423","China:Xiamen"
"424","China:Haitan Dao"
"425","China:8"
"426","China:Liuheng Dao"
"427","China:10"
"428","China:Zhoushan Dao"
"429","China:Chongming Dao"
"430","China"
"431","Ivory Coast:Aby Penninsula"
"432","Ivory Coast"
"433","Cameroon"
"434","Democratic Republic of the Congo"
"435","Republic of Congo"
"436","Cook Islands:Rarotonga"
"437","Colombia:1"
"438","Colombia"
"439","Comoros:Moheli"
"440","Comoros:Anjouan"
"441","Comoros:Grande Comore"
"442","Cape Verde:Fogo"
"443","Cape Verde:Maio"
"444","Cape Verde:Sao Tiago"
"445","Cape Verde:Boa Vista"
"446","Cape Verde:Sao Nicolau"
"447","Cape Verde:Sal"
"448","Cape Verde:Sao Vincente"
"449","Cape Verde:Santo Antao"
"450","Costa Rica"
"451","Cuba:Isla de la Juventura"
"452","Cuba:Cayo Sabinal"
"453","Cuba:Cayo Guajaba"
"454","Cuba:Cayo Romano"
"455","Cuba:Cayo Coco"
"456","Cuba:Caya Fragosa"
"457","Cuba"
"458","Curacao"
"459","Cayman Islands:Grand Cayman"
"460","Cayman Islands:Little Cayman"
"461","Cayman Islands:Cayman Brac"
"462","Cyprus:Northern Cyprus"
"463","Cyprus"
"464","Czech Republic"
"465","Germany:Usedom"
"466","Germany:Fehmarn"
"467","Germany:Rugen"
"468","Germany:4"
"469","Germany"
"470","Germany:6"
"471","Djibouti"
"472","Dominica"
"473","Denmark:Lolland"
"474","Denmark:2"
"475","Denmark:Mon"
"476","Denmark:Als"
"477","Denmark:Langeland"
"478","Denmark:Bornholm"
"479","Denmark:Fyn"
"480","Denmark:8"
"481","Denmark:Samso"
"482","Denmark:Sjaelland"
"483","Denmark:Laeso"
"484","Denmark"
"485","Dominican Republic"
"486","Algeria"
"487","Ecuador:Isla Puna"
"488","Ecuador:Isla Santa Maria"
"489","Ecuador:Isla San Cristobal"
"490","Ecuador:Isla Santa Cruz"
"491","Ecuador:Isla Fernandina"
"492","Ecuador:Isla San Salvador"
"493","Ecuador:Isla Isabela"
"494","Ecuador:Pampanal"
"495","Ecuador"
"496","Egypt"
"497","Eritrea:Dehalak Deset"
"498","Eritrea:2"
"499","Eritrea"
"500","Canary Islands:Hierro"
"501","Canary Islands:Gran Canaria"
"502","Canary Islands:Gomera"
"503","Canary Islands:Tenerife"
"504","Canary Islands:Fuerteventura"
"505","Canary Islands:La Palma"
"506","Canary Islands:Lanzarote"
"507","Spain:Formentera"
"508","Spain:Ibiza"
"509","Spain:Majorca"
"510","Spain:Minorca"
"511","Spain"
"512","Estonia:Saaremaa"
"513","Estonia:Muhu"
"514","Estonia:Hiiumaa"
"515","Estonia"
"516","Ethiopia"
"517","Finland:1"
"518","Finland:2"
"519","Finland:3"
"520","Finland:4"
"521","Finland:5"
"522","Finland:Vallgrund"
"523","Finland:Halluoto"
"524","Finland"
"525","Fiji:Conway Reef"
"526","Fiji:Ndoi Island"
"527","Fiji:Fulanga"
"528","Fiji:Kadavu"
"529","Fiji:Totoya"
"530","Fiji:Lakeba"
"531","Fiji:Ngau"
"532","Fiji:8"
"533","Fiji:Vanua Masi"
"534","Fiji:Ovalau"
"535","Fiji:Viti Levu"
"536","Fiji:Koro"
"537","Fiji:Vanua Balavu"
"538","Fiji:Naviti"
"539","Fiji:16"
"540","Fiji:17"
"541","Fiji:Vanua Levu"
"542","Fiji:Rotuma"
"543","Falkland Islands:1"
"544","Falkland Islands:2"
"545","Falkland Islands:Weddell Island"
"546","Falkland Islands:West Falkland"
"547","Falkland Islands:5"
"548","Falkland Islands:East Falkland"
"549","Reunion"
"550","Mayotte"
"551","French Guiana"
"552","Martinique"
"553","Guadeloupe:Marie-Galante"
"554","Guadeloupe:Basse-Terre"
"555","Guadeloupe:Grande-Terre"
